en,es
They forgot to lock the door.,Olvidaron poner llave a la puerta.
"This song is called ""Only You"".","Esta canción se llama ""Only You""."
"If I showed you my house, my neighborhood back then, would you understand where I am from?","Si te mostrara mi casa, mi vecindario de entonces, ¿comprenderías de dónde yo vengo?"
Who taught you how to dance?,¿Quién te enseñó a bailar?
Does that bread taste OK?,¿Está bueno ese pan?
I am constantly amazed at the energy of my grandparents.,El vigor de mis abuelos siempre me sorprende.
Enjoy your meal.,Que aproveche.
"Mary wants to lose some fat, but Tom thinks that she shouldn't.","Mary quiere perder algo de grasa, pero Tom cree que no debería."
I count on your help.,Cuento con tu ayuda.
I just got back from school.,Acabo de volver de la escuela.
Thou shalt not pass.,No pasarás.
I'd rather sit in the back row.,Preferiría sentarme en la fila de atrás.
"The word ""comida"" is stressed on the second-to-last syllable.","La palabra “comida” es llana, y se acentúa prosódicamente en la penúltima sílaba."
She has writing talent.,Ella tiene talento para escribir.
Over and out.,Cambio y fuera.
I'm not short.,No soy bajo.
I'll find out tomorrow.,Lo averiguaré mañana.
I think we'll be safe here.,Creo que aquí estaremos seguros.
This book is a whodunit.,Este libro es una novela policíaca.
The neighbor's dog is dangerous.,El perro del vecino es peligroso.
There were many things that I didn't like about that movie.,Hubo muchas cosas que no me gustaron acerca de la película.
I can't go back to jail.,No puedo volver a la cárcel.
She's also a beauty.,También es una hermosura.
Tom found the bug.,Tom encontró el bug.
According to me we can do that.,"Según veo, podemos hacer eso."
What's done cannot be undone.,"Lo hecho, hecho está."
A cat appeared from under the desk.,Apareció un gato de abajo del escritorio.
Tom has to tell you something.,Tom tiene que decirte algo.
I can't believe Tom hasn't called.,No puedo creer que Tom no haya llamado.
Do you want my WhatsApp?,¿Quieres mi WhatsApp?
Long live the Republic!,¡Viva la República!
Please tell me how to get to your house.,"Dime cómo llegar a tu casa, por favor."
Tom wants to learn how to windsurf.,Tom quiere aprender a surfear.
That seems interesting to me!,¡Eso me parece interesante!
Are you sure you can't come with me?,¿Estás seguro de que no puedes venir conmigo?
We felt sympathy for her.,Sentimos simpatía hacia ella.
I think Tom didn't want Mary to go out with John.,Creo que Tom no quería que Mary saliera con John.
Where should we have dinner this evening?,¿Dónde cenamos esta noche?
He's not perfect.,No es perfecto.
Do you recognize these?,¿Reconoces estas?
You need to press the button.,Tienes que presionar el botón.
I'm confident that Tom will be successful.,Estoy confidente de que Tom será exitoso.
We can all do this.,Todos nosotros podemos hacer esto.
The story moved me to tears.,La historia me conmovió hasta las lágrimas.
The aubergine is a vegetable.,La berenjena es una verdura.
Yanni is wrecking his own potential success.,Yanni está arruinando su propio éxito potencial.
Tom became serious.,Tom se puso serio.
"When I woke up, I was sad.",Cuando me desperté estaba triste.
Tom wanted to know Mary's phone number.,Tom quería saber el número de teléfono de Mary.
It was very hard for me to find your flat.,Me fue muy difícil encontrar tu departamento.
He was married to her sister.,Él estaba casado con su hermana.
He is good at cooking.,Él es bueno para cocinar.
The game was postponed because of the bad weather.,El partido se pospuso a causa del mal tiempo.
Tom was on the news last night.,Tom estuvo en las noticias anoche.
A lot of people came to the lecture.,Mucha gente vino a la cátedra.
There were a lot of cars on the street.,Había muchos coches en la calle.
Tom knows what you did.,Tomás sabe lo que hiciste.
The ☭ is a symbol of communism.,La ☭ es un símbolo del comunismo.
It is very hot here in summer.,Hace mucho calor acá en verano.
Is this thing edible?,¿Esto se come?
My wife is a doctor.,Mi mujer es médica.
She is hard at work.,Ella trabaja duro.
What's your favorite way to cook potatoes?,¿Cuál es tu forma preferida de cocinar papas?
Mario woke up at midnight to come across five cockroaches in the bathroom.,Mario se despertó a medianoche y se encontró cinco cucarachas en el baño.
She wants to kiss him.,Ella quiere besarlo.
"Listen, he doesn't know what he says.","Escucha, él no sabe lo que dice."
They threatened to kill me so I gave them my wallet.,"Amenazaron con matarme, así que les di la cartera."
The war is over. Man can live in peace again.,La guerra se acabó. El hombre puede volver a vivir en paz.
You don't have any of the illnesses you diagnosed yourself with.,No tiene ninguna de las enfermedades que se ha autodiagnosticado.
These days John drinks too much.,Últimamente John está bebiendo demasiado.
Do you want more?,¿Quieres más?
The Earth revolves around the Sun.,La tierra da vueltas alrededor del sol.
I have remained speechless.,Me he quedado sin palabras.
The bird is drinking water.,El pájaro está bebiendo agua.
Today is the third Friday of January.,Hoy es el tercer viernes de enero.
Thank you for the wonderful gift.,Gracias por este regalo maravilloso.
Take your time.,Tómese su tiempo.
I'll find out eventually.,Yo averiguaré finalmente.
I thought that he was a doctor.,Yo pensaba que él era un doctor.
It seems that I've lost my keys.,Me da la impresión de que he perdido las llaves.
Tom has been talking on the phone for an hour.,Tom ha estado hablando por teléfono durante una hora.
My uncle has completely recovered from his illness.,Mi tío se recuperó completamente de su enfermedad.
I had a dream about you last night.,Anoche soñé contigo.
I had to postpone my appointment.,Tuve que posponer mi cita.
The first 24 hours are the hardest.,Las primeras 24 horas son las más duras.
I gave him a book.,Le di un libro.
What she is trying to say is that you're a jackass.,Lo que ella quiere decir es que sos un pelotudo.
Where is your brother?,¿Dónde está tu hermano?
The good employee is proud.,El buen empleado está orgulloso.
Where is he playing?,¿En dónde está jugando?
Please say ‘yes’!,"¡Por favor, di que sí!"
Don't get off while the vehicle is in motion.,Se prohíbe apearse en marcha.
Mary took off her dress.,Mary se quitó el vestido.
The bakery is on Pino Street.,La panadería está en la calle Pino.
Do you feel any better today?,¿Hoy te sientes mejor?
The singer sings while playing the piano.,El cantante canta mientras toca el piano.
This dictionary is completely useless.,Este diccionario es totalmente inútil.
Let's eat here.,Comamos aquí.
Liars must have a good memory.,Los mentirosos tienen que tener buena memoria.
There are my sister's magazines.,Son las revistas de mi hermana.
He defended his friend from all criticism.,Él defendió a su amigo de todas las críticas.
Didn't you know that Tom had relatives in Australia?,¿No sabías que Tom tenía parientes en Australia?
Don't waste your breath on Tom.,No gastes saliva con Tom.
John left the company and started his own.,John dejó la empresa y formó una propia.
Did you win the trophy?,¿Ganaste el trofeo?
Is it true that you were in Madrid then?,¿Es cierto que entonces estaba en Madrid?
"Once he got the news of his daughter-in-law's death, he totally freaked out.","Una vez que se enteró de la noticia de la muerte de su nuera, perdió totalmente los estribos."
Both Magdalena and Ania are from Poland.,Tanto Magdalena como Ania son polacas.
He cannot stop us.,Él no nos puede detener.
Have you been told where to park your car?,¿Te dijeron dónde puedes estacionar tu coche?
It was below freezing last night.,Anoche heló.
They were in Mexico.,Estaban en México.
I'm tired; I think I'm going to go to bed.,"Estoy cansado, creo que me voy a la cama."
It is not so much money as fame that he wanted.,No es tanto el dinero como la fama lo que él quería.
Who did you talk to?,¿Con quién hablaste?
We love our job.,Nos encanta nuestro trabajo.
The ship is unloading the boxes.,El barco está descargando las cajas.
I never drive.,Nunca conduzco.
What fruit do you like the best?,¿Cuál fruta es la que más te gusta?
Next month it'll be five years since he began playing the violin.,El mes que viene hará cinco años que él empezó a tocar el violín.
I'm really sorry.,Realmente lo siento.
Tom slipped on a banana peel.,Tom se resbaló con una cáscara de plátano.
Portuguese is a Romance language.,El portugués es una lengua romance.
We're planting seeds.,Estamos plantando semillas.
I've heard that in Germany beer is cheaper than water. Is that true?,He oído que en Alemania la cerveza es más barata que el agua. ¿Es cierto?
"I said, ""That's enough!""","Dije: ""¡ya basta!"""
Enough is enough!,¡Ya basta!
I shut the door quietly so as not to wake the baby.,Cerré suavemente la puerta para no despertar al bebé.
Clarity comes first.,Claridad primero.
You have to talk quietly here.,Aquí debes hablar bajito.
Turn to channel 1.,Cambia al canal 1.
Let's start from the beginning.,Empecemos por el principio.
Does this make sense?,¿Tiene sentido esto?
It's cold in the basement.,En el sótano hace frío.
I don't think I've ever seen such a cute pirate before.,Creo que jamás había visto a un pirata tan mono.
He is standing on the hill.,Él está parado en la colina.
Will this dictionary do?,¿Este diccionario servirá?
Music is her passion.,La música es su pasión.
Have you ever seen a pier?,¿Has visto un muelle alguna vez?
It was easy.,Fue fácil.
What's the best way to tell someone that you don't like them?,¿Cuál es la mejor forma de decirle a alguien que no te gusta?
Mary plays basketball well.,Mary juega bien al baloncesto.
My friend has proposed to me that I go play in the street.,Una amiga me ha propuesto jugar en la calle.
This is the end of Europe as we've known it.,Éste es el final de Europa tal y como la conocíamos.
Tom rushed to his room.,Tom huyó a su cuarto.
I wasn't born on Earth.,No nací en la Tierra.
These unhappy people must be taken good care of.,Estos infelices deben tenerse en cuenta.
It is difficult for me to understand him.,Me es difícil comprenderlo.
Leave a message.,Deje un mensaje.
